organization,imei,plate_number,,,
Metro,5920,5920,,,
Metro,5885,5885,,,
Metro,5804,5804,,,
Metro,5785,5785,,,
Metro,5910,5910,,,
Metro,5907,5907,,,
Metro,5952,5952,,,
Metro,5943,5943,,,
Metro,5941,5941,,,
Metro,7011,7011,,,
Metro,7026,7026,,,
Metro,5962,5962,,,
Metro,7023,7023,,,
Metro,5929,5929,,,
Metro,5958,5958,,,
Metro,5997,5997,,,
Metro,7013,7013,,,
Metro,6000,6000,,,
Metro,49058,49058,,,
Metro,17318,17318,,,
Metro,17353,17353,,,
Metro,17377,17377,,,
Metro,17403,17403,,,
Metro,17300,17300,,,
Metro,17327,17327,,,
Metro,17308,17308,,,
Metro,17393,17393,,,
Metro,21540,21540,,,
Metro,21605,21605,,,
Metro,17428,17428,,,
Metro,17486,17486,,,
Metro,21516,21516,,,
Metro,21530,21530,,,
Metro,17439,17439,,,
Metro,21633,21633,,,
Metro,17438,17438,,,
Metro,21628,21628,,,
Metro,21622,21622,,,
Metro,21702,21702,,,
Metro,21630,21630,,,
Metro,17464,17464,,,
Metro,21504,21504,,,
Metro,21528,21528,,,
Metro,21696,21696,,,
Metro,21548,21548,,,
Metro,17452,17452,,,
Metro,21526,21526,,,
Metro,21614,21614,,,
Metro,21550,21550,,,
Metro,21580,21580,,,
Metro,17404,17404,,,
Metro,21537,21537,,,
Metro,21617,21617,,,
Metro,21569,21569,,,
Metro,21556,21556,,,
Metro,21571,21571,,,
Metro,21562,21562,,,
Metro,21857,21857,,,
Metro,21785,21785,,,
Metro,21822,21822,,,
Metro,21811,21811,,,
Metro,21803,21803,,,
Metro,21764,21764,,,
Metro,21784,21784,,,
Metro,21721,21721,,,
Metro,21812,21812,,,
Metro,21712,21712,,,
Metro,21750,21750,,,
Metro,21709,21709,,,
Metro,21768,21768,,,
Metro,21797,21797,,,
Metro,21858,21858,,,
Metro,21886,21886,,,
Metro,21902,21902,,,
Metro,21892,21892,,,
Metro,21907,21907,,,
Metro,21974,21974,,,
Metro,21863,21863,,,
Metro,25011,25011,,,
Metro,25010,25010,,,
Metro,21978,21978,,,
Metro,76083,76083,,,
Metro,25041,25041,,,
Metro,25056,25056,,,
Metro,25047,25047,,,
Metro,25012,25012,,,
Metro,25013,25013,,,
Metro,21996,21996,,,
Metro,21937,21937,,,
Metro,21952,21952,,,
Metro,25003,25003,,,
Metro,21929,21929,,,
Metro,25078,25078,,,
Metro,25065,25065,,,
Metro,25072,25072,,,
Metro,25079,25079,,,
Metro,25073,25073,,,
Metro,25067,25067,,,
Metro,25103,25103,,,
Metro,25146,25146,,,
Metro,25137,25137,,,
Metro,25180,25180,,,
Metro,25220,25220,,,
Metro,25122,25122,,,
Metro,25215,25215,,,
Metro,25147,25147,,,
Metro,25134,25134,,,
Metro,25182,25182,,,
Metro,25163,25163,,,
Metro,25114,25114,,,
Metro,25142,25142,,,
Metro,25132,25132,,,
Metro,25150,25150,,,
Metro,25204,25204,,,
Metro,25413,25413,,,
Metro,25411,25411,,,
Metro,25409,25409,,,
Metro,25243,25243,,,
Metro,25386,25386,,,
Metro,25336,25336,,,
Metro,25258,25258,,,
Metro,25248,25248,,,
Metro,25278,25278,,,
Metro,25364,25364,,,
Metro,25314,25314,,,
